,Players,Tone,Tone Strength,Image Quality,Source
46,Mads Roerslev Rasmussen,Neutral,70,80,https://www.alamy.com/brentfords-mads-roerslev-rasmussen-during-the-pre-season-friendly-match-at-the-brentford-community-stadium-london-picture-date-saturday-july-31-2021-image436846832.html
47,Marc Guéhi,Neutral,80,90,https://www.getfootballnewsfrance.com/2024/marc-guehi-wants-to-leave-crystal-palace-amid-manchester-united-interest/
48,Marcus Rashford,Negative,85,75,https://www.skysports.com/football/news/11667/13276702/marcus-rashford-man-utd-forwards-current-situation-discussed-by-gary-neville-jamie-carragher-and-jamie-redknapp
49,Martin Dubravka,Positive,95,90,https://www.newcastleunited.com/en/news/martin-dubravka-programme-interview-23-24
50,Mathias Jensen,Neutral,70,85,https://www.brentfordfc.com/en/news/article/first-team-mathias-jensen-injury-update-fpl-december-2023
51,Max Kilman,Positive,90,85,https://www.theguardian.com/football/2019/aug/06/max-kilman-wolves-premier-league-futsal-england
52,Michail Antonio,Negative,80,90,https://www.eurosport.com/football/europa-league/2023-2024/michail-antonio-unhappy-after-west-ham-exit-feels-like-youre-playing-against-13.-14-including-the-tw_sto10107841/story.shtml
53,Nathan Aké,Neutral,50,90,https://www.independent.co.uk/sport/football/nathan-ake-manchester-city-txiki-begiristain-pep-guardiola-premier-league-b2384148.html
54,Nathan Collins,Positive,95,90,https://www.nytimes.com/athletic/5031602/2023/11/06/brentfords-nathan-collins-is-just-getting-started-theres-so-much-potential-in-him/
55,Neal Maupay,Neutral,80,90,https://www.skysports.com/football/news/11748/11762260/neal-maupay-out-of-brentfords-friendly-against-dynamo-kiev-due-to-uncertainty-over-future
56,Nick Pope,Positive,95,90,https://www.newcastleunited.com/en/news/newcastle-united-0-crystal-palace-0-3-2-on-pens
57,Nélson Cabral Semedo,Neutral,80,85,https://www.alamy.com/wolverhampton-wanderers-cabral-nelson-semedo-during-the-premier-league-match-at-molineux-wolverhampton-image379240861.html
58,Odsonne Edouard,Positive,95,90,https://www.theguardian.com/football/2021/sep/17/crystal-palace-fast-starter-odsonne-edouard-mbappe-celtic
59,Oleksandr Zinchenko,Positive,95,85,https://www.independent.co.uk/sport/football/arsenal-oleksandr-zinchenko-martin-odegaard-frank-lampard-premier-league-b2331597.html
60,Pedro Lomba Neto,Positive,95,85,https://www.alamy.com/wolverhampton-wanderers-lomba-pedro-neto-celebrates-scoring-his-sides-first-goal-of-the-game-during-the-uefa-europa-league-third-qualifying-round-second-leg-match-at-molineux-stadium-wolverhampton-image264242593.html
61,Raheem Sterling,Neutral,70,90,https://www.independent.co.uk/sport/football/raheem-sterling-chelsea-squad-team-news-b2598054.html
62,Raúl Jiménez,Positive,95,85,https://www.goal.com/en-us/lists/mexico-fulham-raul-jimenez-premier-league-el-tri/blt56bd112c03acbfe3
63,Richarlison de Andrade,Neutral,80,85,https://www.alamy.com/richarlison-de-andrade-of-tottenham-hotspur-fc-looks-on-during-the-uefa-champions-league-round-of-16-first-leg-match-between-ac-milan-and-tottenham-hotspur-at-giuseppe-meazza-stadium-on-february-14-2023-in-milan-italy-image524282053.html
64,Robert Sánchez,Positive,90,85,https://www.chelseafc.com/en/news/article/sanchez-amazing-to-be-out-there
65,Ross Barkley,Neutral,70,85,https://www.teamtalk.com/luton-town/unbelievable-ross-barkley-compared-iconic-world-cup-winner-stunning-praise-luton-hero-thriving
66,Scott McTominay,Neutral,80,90,https://thebusbybabe.sbnation.com/2024/8/6/24213663/why-manchester-united-cant-sell-scott-mctominay
67,Sean Longstaff,Positive,90,80,https://www.newcastleunited.com/en/teams/mens-team/sean-longstaff
68,Sergio Reguilón,Positive,95,90,https://www.nytimes.com/athletic/5419746/2024/04/18/sergio-reguilon-brentford-tottenham/
69,Takehiro Tomiyasu,Neutral,80,90,https://www.bbc.com/sport/football/articles/cgq92p8g9n1o
70,Thiago Emiliano da Silva,Neutral,80,90,https://www.alamy.com/thiago-emiliano-da-silva-of-chelsea-during-the-uefa-champions-league-round-of-16-2nd-leg-football-match-between-losc-lille-and-chelsea-on-march-16-2022-at-pierre-mauroy-stadium-in-villeneuve-dascq-france-photo-matthieu-mirville-dppi-image469741983.html
71,Timothy Castagne,Positive,85,90,https://www.fulhamfc.com/players/timothy-castagne/
72,Toti António Gomes,Neutral,70,85,https://www.molineux.news/profiles/who-is-toti-gomes-meet-wolves-left-sided-lieutenant/
73,Trent Alexander-Arnold,Positive,95,90,https://edition.cnn.com/2024/02/10/sport/liverpool-trent-alexander-arnold-jurgen-klopp-spt-intl/index.html
74,Tyrick Mitchell,Neutral,80,90,https://www.independent.co.uk/sport/football/patrick-vieira-wembley-crystal-palace-england-ruben-loftuscheek-b2060000.html
75,Victor Lindelöf,Neutral,80,90,https://www.independent.co.uk/sport/football/erik-ten-hag-manchester-united-victor-lindelof-belgium-sweden-b2433182.html
76,Virgil van Dijk,Positive,95,90,https://www.liverpoolfc.com/news/virgil-van-dijk-scores-extra-time-give-liverpool-victory-over-chelsea-carabao-cup-final
77,Vitalii Mykolenko,Neutral,80,90,https://www.everton.news/vitaliy-mykolenko-breaks-silence-on-what-he-finds-so-hard-about-playing-for-everton/
78,Vitaly Janelt,Positive,80,0,https://www.brentfordfc.com/en/teams/profile/vitaly-janelt
79,Will Hughes,Positive,85,90,https://www.nytimes.com/athletic/6035554/2025/01/03/will-hughes-injury-crystal-palace/
80,Willy Boly,Positive,95,90,https://www.marca.com/en/football/premier-league/cronica/2023/08/26/64ea1febca4741d0138b4569.html
